"","CA025","CA011","CA020","CA008","I065","I047","I063","P066","P052","P045","P050","C055","C067","C056","C062","T015","B021","T006","B008","B015","B017","H008","U020","U012","U019","U026","A011","A013","A019","A022","A027","A003","A006","A010","U006","L008","L022","L011","L017"
"ASV47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,2,282,0,0,0,0,0
"ASV49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV50",0,0,0,0,0,18,0,0,0,750,0,41,22,0,0,0,0,0,0,0,0,0,173,314,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV51",0,0,0,0,0,3,0,0,0,0,0,0,1563,2,486,0,0,2,1,29,0,0,0,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,1262,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV56",26,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,45,0,0,0,0,0,0,0,0,106,0,719,1,0,0,0,0,0
"ASV57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0
"ASV58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,1,0,0,0,0,0,0,0,0,0,0
"ASV59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,120,0,0,0,479,193,213,0,0,0,50,0
"ASV60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,1388,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV61",0,0,0,2,8,239,0,0,0,145,0,120,0,256,12,2,26,0,11,62,82,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV62",0,46,31,0,0,0,0,0,0,0,0,0,0,0,927,253,5,0,0,738,82,272,0,0,0,0,0,0,0,31,59,0,0,0,0,0,0,0,0
"ASV63",0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV64",0,0,0,0,0,0,0,0,0,0,1157,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ASV65",0,0,0,0,4892,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV66",0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1463,0,0,0,0,0,0,33,0,0,0,0,0,0
"ASV67",29,5,2,8,0,6,0,1,0,340,1,0,248,0,98,0,4,4,0,0,0,369,0,0,0,6,0,0,0,0,0,1,103,0,0,0,0,0,0
"ASV68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0
"ASV69",0,0,0,0,26,0,0,0,8,0,0,0,0,94,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,1,0,0,8
"ASV70",0,0,0,0,0,2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0
"ASV72",0,0,0,0,0,0,0,0,0,0,0,0,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV74",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,62,2,5,1,0,0,174,0,0,51,0,109,2,0,0,0,0,0,0,0,0,0,0,0
"ASV75",0,0,0,35,0,0,0,0,0,0,13,0,292,0,0,0,0,8,0,1892,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,575,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV78",0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,195,0,0,0,18,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0
"ASV79",3,33,54,31,0,0,0,17,0,0,587,0,7,0,0,0,0,233,0,7,88,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"ASV81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV82",0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,124,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV83",0,0,0,0,0,0,28,1821,4,0,274,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,6,0,39,0,0,0,0,0,0,0,0
"ASV84",0,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,0,0,0
"ASV88",0,0,165,0,0,0,8,0,0,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV89",0,0,0,0,0,0,0,0,0,0,0,0,1197,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,1,0,0,0,0,0,0,2,22,0,7
"ASV91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,859,0
"ASV92",0,0,0,0,16,0,14,28,5,0,0,0,0,319,0,0,1,0,6,6,32,0,0,0,0,0,314,0,323,0,25,0,22,20,0,0,0,0,0
"ASV93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,1404,0,0,0,0
"ASV94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0
"ASV95",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,391,60,0,0,0,0,0
"ASV96",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,25,706,0,0,0,0,0,0,0,1,91,0,18,147,51
"ASV97",14,5,0,0,0,0,0,0,0,26,504,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV98",0,0,2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1791
"ASV103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0
"ASV106",0,0,0,7,28,0,0,0,210,0,0,4,0,196,0,0,0,39,0,11,0,0,0,0,0,0,8,285,487,0,13,14,0,0,0,0,0,0,0
